Epoch_ID,Time,Satellite,C1C_m
59,2024-11-14 08:58:16,G09,20148295.285
59,2024-11-14 08:58:16,G16,23400363.711
59,2024-11-14 08:58:16,G20,23677330.289
59,2024-11-14 08:58:16,G30,22557205.434
60,2024-11-14 08:58:17,G04,21292832.25
60,2024-11-14 08:58:17,G07,21142249.32
60,2024-11-14 08:58:17,G08,23565619.484
60,2024-11-14 08:58:17,G09,20148305.07
60,2024-11-14 08:58:17,G16,23400981.637
60,2024-11-14 08:58:17,G20,23676893.914
60,2024-11-14 08:58:17,G30,22556832.594
61,2024-11-14 08:58:18,G04,21293147.387
61,2024-11-14 08:58:18,G07,21142173.246
61,2024-11-14 08:58:18,G08,23565174.516
61,2024-11-14 08:58:18,G09,20148315.137
61,2024-11-14 08:58:18,G16,23401600.133
61,2024-11-14 08:58:18,G20,23676458.395
61,2024-11-14 08:58:18,G30,22556460.035
62,2024-11-14 08:58:19,G04,21293462.215
62,2024-11-14 08:58:19,G07,21142096.863
62,2024-11-14 08:58:19,G08,23564730.387
62,2024-11-14 08:58:19,G09,20148324.895
62,2024-11-14 08:58:19,G16,23402218.027
62,2024-11-14 08:58:19,G20,23676022.848
62,2024-11-14 08:58:19,G30,22556087.305
63,2024-11-14 08:58:20,G04,21293777.176
63,2024-11-14 08:58:20,G07,21142020.895
63,2024-11-14 08:58:20,G08,23564285.816
63,2024-11-14 08:58:20,G09,20148334.785
63,2024-11-14 08:58:20,G16,23402836.059
63,2024-11-14 08:58:20,G20,23675588.008
63,2024-11-14 08:58:20,G30,22555714.566
64,2024-11-14 08:58:21,G04,21294092.137
64,2024-11-14 08:58:21,G07,21141944.641
64,2024-11-14 08:58:21,G08,23563841.387
64,2024-11-14 08:58:21,G09,20148344.812
64,2024-11-14 08:58:21,G16,23403454.371
64,2024-11-14 08:58:21,G20,23675152.59
64,2024-11-14 08:58:21,G30,22555341.969
65,2024-11-14 08:58:22,G04,21294407.648
65,2024-11-14 08:58:22,G07,21141868.656
65,2024-11-14 08:58:22,G08,23563397.797
65,2024-11-14 08:58:22,G09,20148354.828
65,2024-11-14 08:58:22,G16,23404072.812
65,2024-11-14 08:58:22,G20,23674717.301
65,2024-11-14 08:58:22,G30,22554969.211
66,2024-11-14 08:58:23,G04,21294722.719
66,2024-11-14 08:58:23,G07,21141792.656
66,2024-11-14 08:58:23,G08,23562953.621
66,2024-11-14 08:58:23,G09,20148365.254
66,2024-11-14 08:58:23,G16,23404690.949
66,2024-11-14 08:58:23,G20,23674282.57
66,2024-11-14 08:58:23,G30,22554597.012
67,2024-11-14 08:58:24,G04,21295038.062
67,2024-11-14 08:58:24,G07,21141716.5
67,2024-11-14 08:58:24,G08,23562509.719
67,2024-11-14 08:58:24,G09,20148375.668
67,2024-11-14 08:58:24,G16,23405309.789
67,2024-11-14 08:58:24,G20,23673847.824
67,2024-11-14 08:58:24,G30,22554224.652
68,2024-11-14 08:58:25,G04,21295353.383
68,2024-11-14 08:58:25,G07,21141640.461
68,2024-11-14 08:58:25,G08,23562065.504
68,2024-11-14 08:58:25,G09,20148385.773
68,2024-11-14 08:58:25,G16,23405927.895
68,2024-11-14 08:58:25,G20,23673413.059
68,2024-11-14 08:58:25,G30,22553852.129
69,2024-11-14 08:58:26,G04,21295668.996
69,2024-11-14 08:58:26,G07,21141564.574
69,2024-11-14 08:58:26,G08,23561621.445
69,2024-11-14 08:58:26,G09,20148396.312
69,2024-11-14 08:58:26,G16,23406546.863
69,2024-11-14 08:58:26,G20,23672978.297
69,2024-11-14 08:58:26,G30,22553479.613
70,2024-11-14 08:58:27,G04,21295984.512
70,2024-11-14 08:58:27,G07,21141488.594
70,2024-11-14 08:58:27,G08,23561177.715
70,2024-11-14 08:58:27,G09,20148406.902
70,2024-11-14 08:58:27,G16,23407165.445
70,2024-11-14 08:58:27,G20,23672544.441
70,2024-11-14 08:58:27,G30,22553107.43
71,2024-11-14 08:58:28,G04,21296299.98
71,2024-11-14 08:58:28,G07,21141413.133
71,2024-11-14 08:58:28,G08,23560733.508
71,2024-11-14 08:58:28,G09,20148417.582
71,2024-11-14 08:58:28,G16,23407784.27
71,2024-11-14 08:58:28,G20,23672109.391
71,2024-11-14 08:58:28,G30,22552734.91
72,2024-11-14 08:58:29,G04,21296615.707
72,2024-11-14 08:58:29,G07,21141337.363
72,2024-11-14 08:58:29,G08,23560290.133
